title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
PHP经典实例,（美）斯克拉/（美）切贝特伯格,中国电力出版社,无,"PHPCookbook,2ndEd",李松峰,2009-10,816,98.00元,9787508386089
GNU Make项目管理（第三版）,(美)RobertMecklenburg,东南大学出版社,无,ManagingProjectswithGNUMake,O'ReillyTaiwan,2006-7,288,37.00,9787564103521
黑客,StevenLevy,机械工业出版社华章公司,计算机革命的英雄(二十五周年新版),Hackers:HeroesoftheComputerRevolution-25thAnniversaryEdition,赵俐,2011-10-31,352,69.00元,9787111358404
深入分析Java Web技术内幕（修订版）,许令波,电子工业出版社,无,无,无,2014-8-1,464,CNY79.00,9787121232930
写给大忙人看的Java SE 8,【美】CayS.Horstmann（凯.S.霍斯曼）编,电子工业出版社,无,无,张若飞,2014-11,240,59.00元,9787121227288
Java大学简明教程,戴特尔,电子工业出版社,实例程序设计,无,张琛恩,2005-2,835,72.00元,9787121006401
Autotools,JohnCalcote,NoStarchPress,"APractioner'sGuidetoGNUAutoconf,Automake,andLibtool",无,无,2010-7-20,360,USD44.95,9781593272067
The Ruby Way中文版,富尔顿(HalFulton),人民邮电出版社,无,无,陈秋萍,2007年11月1日,532页,79.00元,9787115166692
统计思维：程序员数学之概率统计,AllenB.Downey,人民邮电出版社,程序员数学之概率统计,ThinkStats:ExploratoryDataAnalysis,张建锋,2013-5,160,29.00元,9787115317377
"Essentials of Programming Languages, 3rd Edition",DanielP.Friedman/MitchellWand,TheMITPress,无,无,无,2008-04-30,416,USD65.00,9780262062794
The Algorithm Design Manual,StevenSSkiena,Springer,无,无,无,2011-11-14,730,GBP55.07,9781848000698
Advanced Linux Programming,CodeSourceryLLC/MarkL.Mitchell/AlexSamuel/JeffreyOldham,NewRiders,无,无,无,2001,340,USD45.00,9780735710436
Effective C# 中文版,BillWagner,人民邮电出版社,改善C#程序的50种方法,EffectiveC#:50SpecificWaystoImproveYourC#,李建忠,2007-5,304,49.00元,9787115158888
程序员的数学3,[日]平冈和幸/[日]堀玄,人民邮电出版社,线性代数,无,卢晓南,2016-3,384,79.00元,9787115417749
游戏编程入门,莫里森,人民邮电出版社,无,BeginningGameProgramming,无,2005-9,377,49.00元,9787115136602
Java开发实战经典,李兴华编著,清华大学出版社,无,无,无,2009-8,831,79.80元,9787302202615
C#和.NET 2.0实战,PatrickSmacchia,人民邮电出版社,平台、语言与框架,无,施凡,2008-1,684,99.00元,9787115166203
PHP程序设计,勒道夫,电子工业出版社,无,"ProgrammingPHP,2ndEd",陈浩,2009-3,521,80.00元,9787121038709
Head First Programming,DavidGriffiths/PaulBarry,O'ReillyMedia,Alearner'sguidetoprogrammingusingthePythonlanguage,无,无,2009-12-4,442,USD49.99,9780596802370
Learn You a Haskell for Great Good!,MiranLipovaca,NoStarchPress,AGuideforBeginners,无,无,2010,400,USD44.95,9781593272838
从问题到程序,裘宗燕,机械工业出版社,程序设计与C语言引论,无,无,2005-9-1,415,36.00元,9787111167563
Java 8函数式编程,[英]RichardWarburton,人民邮电出版社,无,无,王群锋,2015-3,148,39.00元,9787115384881
Ruby Under a Microscope,PatShaughnessy,NoStarchPress,AnIllustratedGuidetoRubyInternals,PatShaughnessy,无,2013-11,360,USD39.95,9781593275273
Cocoa入门,JamesDuncanDavidson/AppleInc.,O'Reilly,使用Objective-C,无,"彭舰,张磊,李征,琚生根",2008-2,353,39.00元,9787508365619
GNU Emacs Lisp 编程入门,(美)RobertJ.Chassell,机械工业出版社,无,无,无,2001-5,216,38.00元,9787111088622
Android基础教程,[美]EdBurnette,人民邮电出版社,你的第一本Android书,"Hello,Android:IntroducingGoogle'sMobileDevelopmentPlatform",高朝勤,2009-11,196,39.00元,9787115215369
Lisp in Small Pieces,ChristianQueinnec,CambridgeUniversityPress,无,无,"Callaway,Kathleen",2003-12-04,536,USD80.00,9780521545662
Clojure程序设计,哈罗威(StuartHalloway)/拜卓(AaronBedra),人民邮电出版社,无,ProgrammingClojure，2ndE,温瑞云,2013-4-1,253,49.00元,9787115308474
细说PHP,高洛峰,电子工业出版社,无,无,无,2009-10,649,79.00元,9787121094415
Windows编程启示录,RaymondChen,机械工业出版社,TheOldNewThing:PracticalDevelopmentThroughouttheEvolutionofWindows,无,聂雪军,2007,335,49.00元,9787111219194
琢石成器,罗云彬,电子工业出版社,Windows环境下32位汇编语言程序设计,无,无,2009-6,733,89.00元,9787121086632
Advanced Bash Scripting Guide 5.3 Volume 2,MendelCooper,Lulu.com,无,无,无,2008-07-30,无,USD30.00,9781435752191
设计模式解析,ALANSHALLOWAY/JAMESR.TROTT,人民邮电出版社,ANewPerspectiveonObject-OrientedDesign,DesignPatternsExplained:ANewPerspectiveonObject-OrientedDesign,徐言声,2006-10,296,45.00元,9787115150950
API Design for C++,MartinReddy,MorganKaufmann,无,无,无,2011-2-18,472,USD59.95,9780123850034
jQuery,EarleCastledine/CraigSharkie,SitePoint,NovicetoNinja,无,无,2010-02-28,407,USD39.95,9780980576856
Exceptional C++中文版,[法]让-保罗·萨特,中国电力出版社,无,无,卓小涛,2003-3,220,35.00元,9787508314853
Java程序员修炼之道,[英]BenjaminJ.Evans/[荷兰]MartijnVerburg,人民邮电出版社,无,Thewell-groundedJavadeveloper:vitaltechniquesofJava7andpolyglotprogramming,吴海星,2013-7,395,89.00元,9787115321954
GAE编程指南,DanSanderson,机械工业出版社华章公司,无,ProgrammingGoogleAppEngine,唐学韬,2010-12-1,368,65.00元,9787111314523
Objective-C高级编程,坂本一树(KazukiSakamoto)/古本智彦(TomohikoFurumoto),人民邮电出版社,iOS与OSX多线程和内存管理,PromultithreadingandmemorymanagementforiOSandOSX,黎华,2013-6-1,186,CNY49.00,9787115318091
Java程序设计语言,"[美]KenArnold,JamesGosling,DavidHolmes",人民邮电出版社,无,"TheJavaProgrammingLanguage,4thEdition",陈昊鹏,2006-11,513,69.00元,9787115152978
学习bash,CameronNewham/BillRosenblatt,机械工业出版社,"LearningthebashShell,SecondEdition",LearningthebashShell,徐炎,2003-1-1,356,45.00,9787111107231
魔兽世界编程宝典,JamesWhiteheadII/BryanMcLemore/MatthewOrlando,清华大学出版社,WorldofWarcraftAddons完全参考手册,无,杨柏林,2010-6,870,118.00元,9787302222392
iPhone开发秘籍 （第2版）,[美]EricaSadun,人民邮电出版社,无,TheiPhoneDeveloper’sCookbook:BuildingApplicationswiththeiPhoneSDK3.0,张彩霞,2010-11,680,99.00元,9787115240019
程序员面试攻略,蒙干,机械工业出版社,无,无,王海鹏,2007-12,217,29.00元,9787111226789
七周七数据库,[美]EricRedmond,人民邮电出版社,无,SevenDatabasesinSevenWeeks:AGuidetoModernDatabasesandtheNoSQLMovement,王海鹏,2013-5-30,256,CNY59.00,9787115312242
